i;Weights;BCW;CCW
0;1156.0;0.09321937321937322;0.3271248782720736
1;369.0;0.08011396011396012;0.353999895605116
2;1231.0;0.06814814814814814;0.3883642729334873
3;1045.0;0.08387464387464388;0.13706918462012083
4;1557.0;0.09777777777777778;0.14313721846689476
5;1218.0;0.1076923076923077;0.2929486200601906
6;736.0;0.07874643874643875;0.15340823178865182
7;542.0;0.09105413105413104;0.32264162773215094
8;804.0;0.07897435897435896;0.35607325565104225
9;1291.0;0.07965811965811966;0.3507438851065987
10;1369.0;0.0727065527065527;0.09917941217362848
11;1385.0;0.09880341880341881;0.1510137325904057
12;1505.0;0.07886039886039885;0.15472496151135348
13;906.0;0.07111111111111111;0.3803794153775271
14;1557.0;0.10495726495726496;0.30153006528222204
15;911.0;0.09413105413105415;0.31836573550252495
16;987.0;0.07452991452991452;0.3692018782272662
17;1075.0;0.1068945868945869;0.02468156003972861
18;1378.0;0.06883190883190883;0.09997867077181544
19;874.0;0.08341880341880341;0.09642121094003751
20;1262.0;0.06826210826210827;0.3848161172553667
21;1594.0;0.07441595441595442;0.3684318348595489
22;1018.0;0.08752136752136754;0.039001631407552716
23;1024.0;0.07544159544159543;0.36382127594162506
24;751.0;0.10085470085470086;0.2996540790958839
25;1043.0;0.08501424501424502;0.021654363845100253
26;1002.0;0.0978917378917379;0.30286967455775776
27;813.0;0.0686039886039886;0.3852646006592626
28;713.0;0.08113960113960114;0.2357069170041967
29;1421.0;0.10085470085470084;0.30300679485435
30;887.0;0.06837606837606838;0.25357087693517744
31;583.0;0.07236467236467235;0.37230128596742634
32;692.0;0.09207977207977208;0.32266709939757954
33;711.0;0.08649572649572651;0.335027214294431
34;1280.0;0.06552706552706554;0.39491901839908305
35;1224.0;0.08934472934472934;0.32975693705567
36;1287.0;0.08227920227920228;0.34165229138325487
37;440.0;0.0856980056980057;0.33405667877307044
38;681.0;0.06940170940170941;0.38741950770533423
39;1643.0;0.08136752136752137;0.34493178901955085
40;789.0;0.070997150997151;0.3769167272855774
41;640.0;0.07327635327635328;0.37300760791883636
42;1170.0;0.11327635327635328;0.2750012026654317
43;1177.0;0.07772079772079774;0.3546411457463789
44;768.0;0.0662108262108262;0.3949417857456368
45;942.0;0.0701994301994302;0.37941554729610405
46;649.0;0.06643874643874643;0.3913665214662242
47;1728.0;0.12547008547008545;0.08739954787711902
48;1022.0;0.08854700854700856;0.33121131920214153
49;995.0;0.07156695156695157;0.37611397109220407
50;1375.0;0.0717948717948718;0.38018372974244175
51;827.0;0.07726495726495726;0.36115097845775934
52;1005.0;0.08148148148148149;0.14276105303716466
53;803.0;0.07441595441595442;0.3671354796886393
54;1397.0;0.08444444444444445;0.33888809629296623
55;1301.0;0.09150997150997152;0.3221615731475236
56;833.0;0.06792022792022792;0.39148320853891755
57;1496.0;0.07783475783475782;0.3619567667845508
58;1097.0;0.07487179487179486;0.3721036175659123
59;1364.0;0.10905982905982908;0.2815435419129096
60;975.0;0.08854700854700856;0.32550909461963623
61;1192.0;0.07544159544159543;0.3626958300577787
62;1125.0;0.09515669515669514;0.31145958762550374
63;1598.0;0.0978917378917379;0.30937331208990804
64;854.0;0.06484330484330485;0.39737592162643304
65;1542.0;0.08284900284900285;0.3424755384499216
66;1129.0;0.08034188034188033;0.16076493712015832
67;942.0;0.09333333333333334;0.31539542126068437
68;1967.0;0.06894586894586895;0.09993943640104665
69;759.0;0.06974358974358974;0.16907140270853713
70;898.0;0.10222222222222223;0.30149759013752003
71;1049.0;0.07190883190883192;0.373202268117657
72;1022.0;0.0798860398860399;0.3525024143913396
73;1296.0;0.09754985754985755;0.13512309507413883
74;1560.0;0.06803418803418804;0.38667686006049135
75;1476.0;0.09561253561253562;0.31193059622293645
76;228.0;0.08455840455840455;0.3409042362450907
77;1221.0;0.11190883190883191;0.09070709551811798
78;640.0;0.07008547008547009;0.37968926401297587
79;624.0;0.10108262108262107;0.29872506195713344
80;1653.0;0.09264957264957265;0.31534321402810056
81;1232.0;0.07293447293447294;0.37241744735510723
82;1256.0;0.1143019943019943;0.2721316975775129
83;921.0;0.08205128205128204;0.3474407040430048
84;1084.0;0.07544159544159543;0.36762712177909307
85;1016.0;0.07749287749287749;0.357995462237552
86;1223.0;0.07806267806267807;0.09814865084514914
87;873.0;0.07316239316239317;0.24491379670707214
88;1540.0;0.074985754985755;0.3675816225648917
89;1167.0;0.06632478632478633;0.06975840508334341
90;1134.0;0.0782905982905983;0.354353348190924
91;1662.0;0.0727065527065527;0.37331267530615275
92;569.0;0.070997150997151;0.37684128779061515
93;1295.0;0.06541310541310541;0.3945334617528932
94;276.0;0.06723646723646724;0.16088367216365246
95;840.0;0.07327635327635328;0.3713343989623705
96;924.0;0.09538461538461539;0.31248467639925154
97;1320.0;0.07236467236467237;0.3711800472460115
98;974.0;0.09458689458689458;0.3156430059301808
99;1543.0;0.09447293447293446;0.31050111532652597
100;442.0;0.08660968660968661;0.3307470432782377
101;1374.0;0.11247863247863249;0.041744632060956126
102;922.0;0.1043874643874644;0.2950931247704172
103;863.0;0.06723646723646723;0.10033652624853974
104;893.0;0.07452991452991453;0.36946302659425684
105;855.0;0.09321937321937322;0.31703825119371054
106;1431.0;0.06746438746438746;0.3903944081582735
107;1444.0;0.06962962962962964;0.10199775941960189
108;1468.0;0.0743019943019943;0.2437167704642352
109;1273.0;0.09196581196581198;0.14685526325986148
110;672.0;0.06472934472934473;0.3979586500723582
111;1205.0;0.10507122507122509;0.04260486462428741
112;681.0;0.07111111111111111;0.3763459944402462
113;458.0;0.06484330484330483;0.396180596584236
114;1416.0;0.11259259259259259;0.2736942526105614
115;1489.0;0.06814814814814814;0.3890103539013814
116;952.0;0.06826210826210825;0.3868781525860722
117;943.0;0.08558404558404557;0.3344002567980077
118;822.0;0.07886039886039888;0.35384372545923076
119;1480.0;0.08626780626780627;0.09585675431011402
120;1056.0;0.1054131054131054;0.2874537300706529
121;713.0;0.07897435897435898;0.357032110160143
122;1255.0;0.0826210826210826;0.3456396020453145
123;356.0;0.11498575498575499;0.26788813737225997
124;2064.0;0.0921937321937322;0.0941491635503664
125;1135.0;0.074985754985755;0.3705009752780428
126;1197.0;0.07019943019943022;0.3801476607147045
127;1471.0;0.10267806267806268;0.09247379304352073
128;1326.0;0.1021082621082621;0.2921391695718724
129;590.0;0.06985754985754987;0.3806192463241551
130;934.0;0.1201139601139601;0.2663231258429576
131;1125.0;0.09344729344729344;0.31164060124034376
132;534.0;0.10404558404558405;0.29177012360011084
133;982.0;0.07407407407407407;0.3711285321858194
134;1032.0;0.08205128205128205;0.23216432483226385
135;1067.0;0.11327635327635328;0.2760070869324422
136;733.0;0.0904843304843305;0.3305566213043521
137;1431.0;0.06997150997150997;0.38375388404531025
138;378.0;0.08455840455840456;0.09637804700688392
139;356.0;0.06586894586894586;0.39416162295475904
140;1598.0;0.08205128205128205;0.09689344037414137
141;833.0;0.06940170940170941;0.38255498217091316
142;852.0;0.09720797720797719;0.3111327105330812
143;2084.0;0.0807977207977208;0.09747039840501154
144;1113.0;0.0785185185185185;0.3516215286998961
145;553.0;0.0782905982905983;0.2393438617042342
146;1534.0;0.0741880341880342;0.36561039541086765
147;1500.0;0.07635327635327635;0.36628482526786993
148;931.0;0.08341880341880341;0.34513430739067014
149;748.0;0.07145299145299144;0.3750392385819189
150;973.0;0.07874643874643876;0.35156116118630015
