i;Weights;BCW;CCW
0;915.0;0.11817663817663818;0.010669261024613708
1;811.0;0.10450142450142452;0.008730540536568939
2;985.0;0.0931054131054131;0.007980252685539863
3;1221.0;0.08034188034188035;0.005145353717095842
4;1270.0;0.07943019943019944;0.004117208656864894
5;1063.0;0.13527065527065527;0.0043969942983377135
6;1081.0;0.1165811965811966;0.0056148060865221245
7;1197.0;0.11327635327635328;0.006992081629949001
8;822.0;0.13321937321937322;0.010067304708635871
9;1551.0;0.10928774928774929;0.004524036158141071
10;1452.0;0.09059829059829061;0.004401038868207378
11;1100.0;0.13230769230769232;0.005896949026667806
12;843.0;0.08387464387464388;0.008600130978650112
13;934.0;0.11202279202279201;0.010733918619954408
14;1132.0;0.10678062678062678;0.0046789523313593645
15;731.0;0.13481481481481483;0.0130599740092982
16;1002.0;0.09720797720797722;0.008616202563827597
17;1169.0;0.1320797720797721;0.007979477792346677
18;1055.0;0.07646723646723647;0.0050619751157415785
19;1244.0;0.1231908831908832;0.008097920584615585
20;762.0;0.1013105413105413;0.009923058969094343
21;924.0;0.07213675213675214;0.005146072151969977
22;843.0;0.12501424501424502;0.007935597668868628
23;1042.0;0.11635327635327634;0.018487163740554657
24;1304.0;0.12797720797720796;0.004901192145000789
25;787.0;0.08968660968660969;0.01135730791073152
26;1520.0;0.0997150997150997;0.004925100416628449
27;963.0;0.08877492877492878;0.011043978647684324
28;1275.0;0.09766381766381767;0.004417869640144707
29;994.0;0.08991452991452993;0.008875066580432604
30;762.0;0.07054131054131053;0.00931125385850443
31;876.0;0.09492877492877493;0.016447256218427724
32;911.0;0.15304843304843307;0.007492594860948225
33;879.0;0.1402849002849003;0.009594942380696829
34;749.0;0.09037037037037036;0.010399297927476589
35;769.0;0.1076923076923077;0.012386088368291984
36;1072.0;0.10085470085470086;0.009976546556483643
37;721.0;0.12866096866096866;0.01896994960586624
38;1311.0;0.10245014245014245;0.00641417236725012
39;1020.0;0.1035897435897436;0.010690027538974602
40;963.0;0.08934472934472934;0.007370061282904326
41;1043.0;0.13686609686609688;0.01307211062846697
42;881.0;0.11612535612535613;0.008496051172276628
43;961.0;0.10267806267806269;0.009466753121539042
44;797.0;0.10723646723646724;0.009681143821568417
45;962.0;0.08353276353276354;0.009036159760007309
46;940.0;0.09207977207977208;0.006711381687355846
